date,metrics
2024-09-27,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-28,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-29,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-30,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-01,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-02,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-03,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-04,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-05,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-06,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-07,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-08,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-09,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-10,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-11,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-12,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-13,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-14,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-15,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-16,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-17,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-18,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-19,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-20,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-21,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-22,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
